haskellPackages.apelsin                                      apelsin-1.2.3
haskellPackages.api-builder                                  api-builder-0.12.0.0
haskellPackages.api-field-json-th                            api-field-json-th-0.1.0.2
haskellPackages.api-opentheory-unicode                       api-opentheory-unicode-1.2
haskellPackages.api-tools                                    api-tools-0.5.2
haskellPackages.apiary                                       apiary-2.0.2
haskellPackages.apiary-authenticate                          apiary-authenticate-1.4.0
haskellPackages.apiary-clientsession                         apiary-clientsession-1.4.0
haskellPackages.apiary-cookie                                apiary-cookie-1.4.0
haskellPackages.apiary-eventsource                           apiary-eventsource-1.4.0
haskellPackages.apiary-helics                                apiary-helics-1.4.0
haskellPackages.apiary-http-client                           apiary-http-client-0.1.3.0
haskellPackages.apiary-logger                                apiary-logger-1.4.0
haskellPackages.apiary-memcached                             apiary-memcached-1.4.0
haskellPackages.apiary-mongoDB                               apiary-mongoDB-1.4.0
haskellPackages.apiary-persistent                            apiary-persistent-1.4.0
haskellPackages.apiary-purescript                            apiary-purescript-1.4.0
haskellPackages.apiary-session                               apiary-session-1.4.0
haskellPackages.apiary-websockets                            apiary-websockets-1.4.0
haskellPackages.apioiaf-client                               apioiaf-client-0.2.1.0
haskellPackages.apis                                         apis-0.0.1
haskellPackages.apns-http2                                   apns-http2-0.1.0.0
haskellPackages.apotiki                                      apotiki-0.5.2
haskellPackages.app-lens                                     app-lens-0.1.0.3
haskellPackages.app-settings                                 app-settings-0.2.0.11
haskellPackages.appar                                        appar-0.1.4
haskellPackages.appc                                         appc-0.0.6
haskellPackages.ApplePush                                    ApplePush-0.1
haskellPackages.AppleScript                                  AppleScript-0.2.0.1
haskellPackages.applicative-extras                           applicative-extras-0.1.8
haskellPackages.applicative-fail                             applicative-fail-1.1.1
haskellPackages.applicative-numbers                          applicative-numbers-0.1.3
haskellPackages.applicative-parsec                           applicative-parsec-0.1.0.0
haskellPackages.applicative-quoters                          applicative-quoters-0.1.0.8
haskellPackages.applicative-splice                           applicative-splice-0.0.0.0
haskellPackages.apply-refact                                 apply-refact-0.3.0.1
haskellPackages.apportionment                                apportionment-0.0.0.2
haskellPackages.approx-rand-test                             approx-rand-test-0.2.1
haskellPackages.ApproxFun-hs                                 ApproxFun-hs-0.1.0.0
haskellPackages.approximate                                  approximate-0.3.1
haskellPackages.approximate-equality                         approximate-equality-1.1.0.2
haskellPackages.ar-timestamp-wiper                           ar-timestamp-wiper-0.1.0
haskellPackages.arb-fft                                      arb-fft-0.3.0.0
haskellPackages.arbb-vm                                      arbb-vm-0.1.1.20
haskellPackages.arbtt                                        arbtt-0.9.0.13
haskellPackages.archiver                                     archiver-0.6.2.1
haskellPackages.archlinux                                    archlinux-1.3
haskellPackages.archlinux-web                                archlinux-web-0.1
haskellPackages.archnews                                     archnews-0.2
haskellPackages.arena                                        arena-0.1
haskellPackages.arff                                         arff-0.1.0
haskellPackages.arghwxhaskell                                arghwxhaskell-0.8.2.0
haskellPackages.argon                                        argon-0.4.1.0
haskellPackages.argon2                                       argon2-1.2.0
haskellPackages.argparser                                    argparser-0.3.4
haskellPackages.arguedit                                     arguedit-0.1.0.1
haskellPackages.ariadne                                      ariadne-0.1.2.3
haskellPackages.arion                                        arion-0.1.0.8
haskellPackages.arith-encode                                 arith-encode-1.0.0
haskellPackages.arithmatic                                   arithmatic-0.1.0.3
